2.625,0.085,0.26,0.976
2.625,0.093,0.265,0.977
2.89,0.096,0.271,0.975
2.89,0.088,0.26,0.975
2.89,0.097,0.255,0.976
3.093,0.105,0.266,0.972
3.093,0.114,0.276,0.971
3.093,0.113,0.264,0.973
3.359,0.142,0.255,0.976
3.359,0.162,0.231,0.976
3.359,0.135,0.249,0.974
3.578,0.123,0.244,0.975
3.578,0.136,0.221,0.978
3.578,0.18,0.217,0.976
3.812,0.164,0.254,0.971
3.812,0.155,0.266,0.968
3.812,0.145,0.256,0.973
4.062,0.16,0.254,0.966
4.062,0.164,0.274,0.965
4.062,0.161,0.262,0.968
4.281,0.142,0.231,0.976
4.281,0.144,0.193,0.979
4.281,0.154,0.18,0.977
4.562,0.116,0.229,0.98
4.562,0.125,0.235,0.983
4.562,0.107,0.238,0.977
4.75,0.123,0.258,0.972
