13.319,-0.732,-0.732,-0.244
13.444,-3.415,0.061,0.976
13.444,-6.402,0.427,1.646
13.444,-7.805,0.183,1.585
13.553,-7.866,0.061,1.098
13.553,-8.415,0.122,0.61
13.553,-7.683,-0.061,0.427
13.678,-6.28,-0.061,0.61
13.678,-7.073,0.244,1.28
13.678,-12.561,0.488,2.256
13.787,-22.805,0.976,2.927
13.787,-31.159,1.037,3.476
13.787,-39.878,-0.061,4.512
13.912,-44.634,-4.207,5.915
13.912,-45.183,-7.805,9.451
13.912,-35.305,-4.451,10.854
14.037,-32.683,0.427,9.329
14.037,-32.622,2.012,5.549
14.037,-36.28,1.585,2.927
14.147,-37.195,1.341,1.28
14.147,-41.463,1.402,0.61
14.147,-40.122,1.28,0.061
14.272,-38.293,-0.427,-0.976
14.272,-42.378,-1.707,-0.366
14.272,-43.537,-2.317,2.012
14.397,-35.488,-0.854,2.5
14.397,-33.049,0.671,4.268
14.397,-30.976,1.098,6.707
14.506,-30,1.341,8.415
14.506,-26.524,1.402,8.293
14.506,-26.585,0.427,6.585
14.647,-25.061,-3.354,3.049
14.647,-23.841,-4.695,1.829
14.647,-20.61,-3.598,1.829
14.741,-16.768,-1.646,5.976
14.741,-19.939,3.293,11.585
14.741,-26.951,2.317,20.976
14.866,-31.524,-2.439,22.012
14.866,-29.695,-2.012,19.207
14.866,-24.878,-1.646,17.073
14.975,-19.512,-2.622,13.598
14.975,-10.427,-1.89,9.024
14.975,-1.768,0.488,4.451
15.1,5.488,3.415,-0.549
15.1,14.024,4.39,-1.89
15.1,21.463,3.232,-1.341
15.225,28.537,3.476,-0.976
15.225,36.707,4.756,-1.585
15.225,44.939,5.122,-3.354
15.334,51.22,4.817,-4.817
15.334,58.476,3.476,-6.402
15.334,63.232,1.341,-8.232
15.444,64.451,-1.28,-10.305
15.444,61.829,-2.683,-10.793
15.444,61.341,-4.512,-10.793
15.584,63.232,-4.329,-11.829
15.584,65.061,-2.866,-12.622
15.584,65.488,-1.951,-11.951
15.694,67.073,-2.622,-9.878
15.694,66.89,-3.049,-8.476
15.694,63.598,-2.988,-7.622
15.819,57.195,-2.744,-5.976
15.819,50.122,-2.561,-4.329
15.819,41.646,-1.646,-3.11
15.944,36.22,-1.037,-2.439
15.944,34.939,-0.854,-2.256
15.944,30.976,-0.671,-2.195
16.053,27.561,-0.854,-2.439
16.053,22.439,-1.159,-2.561
16.053,15.61,-1.159,-2.5
16.162,9.817,-0.61,-2.134
16.162,4.878,0.122,-1.646
16.162,1.585,0.793,-1.22
16.287,0.61,1.585,-0.732
