0,0.732,0.122,1.037
0,0.427,-0.122,0.793
0,0.793,0.122,0.122
0.11,1.22,0.122,-0.183
0.11,1.098,-0.122,0.122
0.11,0.671,-0.061,0.549
0.235,0.793,-0.183,0.366
0.235,0.305,-0.061,0.183
0.235,-1.22,0,0.488
0.344,-2.744,-0.061,0.976
0.344,-2.256,0.305,1.22
0.344,-0.427,0.671,1.159
0.469,1.22,0.305,0.976
0.469,5.122,0.061,0.671
0.469,12.073,0.488,0
0.594,20.122,1.22,-0.976
0.594,30.793,1.829,-1.402
0.594,42.256,0.61,-2.317
0.704,52.805,0.366,-4.024
0.704,64.817,0.305,-5.793
0.704,76.524,-0.061,-6.402
0.829,86.28,1.22,-5
0.829,95.671,1.28,-3.415
0.829,103.902,0.244,-3.415
0.938,111.89,0.793,-4.756
0.938,118.963,1.159,-5.732
0.938,119.146,2.744,-4.695
1.094,119.329,2.134,-3.78
1.094,125.366,3.78,-3.598
1.094,140.732,1.463,7.439
1.188,135.122,1.585,7.622
1.188,124.024,2.439,2.317
1.188,119.695,-0.183,7.988
1.297,106.951,-6.28,7.256
1.297,82.988,-11.585,-1.402
1.297,60,-13.232,-9.207
1.422,37.805,-15.61,-12.744
1.422,17.744,-13.232,-11.524
1.422,3.415,-7.683,-5.183
1.579,-2.317,-2.866,2.317
1.579,-5.61,1.524,6.22
1.579,-9.085,3.293,7.683
1.657,-11.159,4.939,7.805
1.657,-16.707,5.915,6.829
1.657,-24.695,5.366,5.915
1.782,-38.72,2.988,4.756
1.782,-53.293,4.024,3.049
1.782,-64.695,5.61,1.768
1.891,-78.841,5.549,2.744
1.891,-92.317,11.341,6.098
1.891,-104.085,13.049,10.488
2.016,-117.988,17.378,14.573
2.016,-125.122,15.305,16.037
2.016,-129.146,12.134,13.598
2.141,-126.768,9.146,9.878
2.141,-124.146,8.476,4.878
2.141,-118.598,7.866,0.305
2.25,-113.11,6.89,-3.476
2.25,-107.744,7.134,-4.39
2.25,-110.183,5.244,-2.744
2.375,-105.305,3.537,-0.793
2.375,-103.171,0.793,-2.805
2.375,-94.878,-0.305,-1.524
2.5,-86.28,-2.012,1.402
2.5,-77.988,-2.927,2.683
2.5,-65.305,-3.354,2.561
2.61,-57.317,-5.488,-0.061
2.61,-47.622,-1.463,2.927
2.61,-34.573,2.012,-0.244
2.735,-22.805,0.915,-2.012
2.735,-10.488,0.976,-0.732
2.735,-5.366,0.305,1.463
2.844,-2.012,-0.61,2.012
