9.047,0.087,0.19,0.991
9.281,0.096,0.196,0.987
9.281,0.108,0.208,0.985
9.281,0.096,0.221,0.976
9.516,0.116,0.174,0.986
9.516,0.123,0.129,0.994
9.516,0.121,0.144,0.992
9.766,0.114,0.146,0.997
9.766,0.158,0.171,0.986
9.766,0.183,0.201,0.977
10,0.205,0.228,0.97
10,0.198,0.176,0.975
10,0.214,0.161,0.979
10.235,0.218,0.173,0.981
10.235,0.194,0.156,0.984
10.235,0.168,0.144,0.982
10.5,0.157,0.137,0.986
10.5,0.146,0.149,0.981
10.5,0.116,0.171,0.991
10.703,0.141,0.152,0.993
10.703,0.126,0.131,0.991
10.703,0.114,0.126,0.991
10.953,0.146,0.183,0.986
10.953,0.104,0.14,1.001
10.953,0.095,0.096,0.999
11.25,0.088,0.104,0.999
