15.703,0.136,0.339,0.952
15.703,0.129,0.329,0.952
15.922,0.15,0.333,0.952
15.922,0.135,0.332,0.952
15.922,0.079,0.336,0.951
16.219,0.05,0.361,0.942
16.219,0.066,0.367,0.948
16.219,0.096,0.348,0.958
16.406,0.088,0.339,0.952
16.406,0.083,0.343,0.95
16.406,0.084,0.364,0.944
16.688,0.164,0.337,0.948
16.688,0.194,0.354,0.937
16.688,0.191,0.375,0.938
16.891,0.202,0.369,0.939
16.891,0.22,0.352,0.939
16.891,0.231,0.374,0.931
17.125,0.13,0.352,0.931
17.125,0.123,0.321,0.948
17.125,0.143,0.318,0.948
17.36,0.124,0.343,0.944
17.36,0.138,0.349,0.951
17.36,0.112,0.346,0.949
17.594,0.106,0.351,0.95
17.594,0.141,0.33,0.955
